title,content,source,url,published,processed_content
Arsenal capitalise on Bayindir error to win 1-0 at Manchester United,United&#039;s expensively assembled new forward line draw a blank as Arsenal began title campaign with a tight away win.,aljazeera,https://www.aljazeera.com/sports/2025/8/17/arsenal-capitalise-on-bayindir-error-to-win-1-0-at-manchester-united?traffic_source=rss,"Sun, 17 Aug 2025 17:57:31 +0000",Arsenal capitalise on Bayindir error to win 1-0 at Manchester United United&#039;s expensively assembled new forward line draw a blank as Arsenal began title campaign with a tight away win.
Hong Kong pro-democracy activists granted asylum in Australia and Britain,Dozens of activists are on the run from authorities in the China-ruled city after a crackdown on civil liberties.,aljazeera,https://www.aljazeera.com/news/2025/8/17/hong-kong-pro-democracy-activists-granted-asylum-in-australia-and-britain?traffic_source=rss,"Sun, 17 Aug 2025 16:58:30 +0000",Hong Kong pro-democracy activists granted asylum in Australia and Britain Dozens of activists are on the run from authorities in the China-ruled city after a crackdown on civil liberties.
"Spain battles 20 big wildfires, deploys 500 more soldiers in searing heat","Authorities are awaiting the arrival of two Dutch water-dumping planes, expected to join other EU aircraft.",aljazeera,https://www.aljazeera.com/news/2025/8/17/spain-battles-20-big-wildfires-deploys-500-more-soldiers-in-searing-heat?traffic_source=rss,"Sun, 17 Aug 2025 16:45:55 +0000","Spain battles 20 big wildfires, deploys 500 more soldiers in searing heat Authorities are awaiting the arrival of two Dutch water-dumping planes, expected to join other EU aircraft."
"Israel intensifies Gaza City attacks, forcing starving Palestinians to flee","UN warns of man-made famine in Gaza as starvation deaths rise, Israel steps up plan to ethnically cleanse northern Gaza.",aljazeera,https://www.aljazeera.com/news/2025/8/17/israel-intensifies-gaza-city-attacks-forcing-starving-palestinians-to-flee?traffic_source=rss,"Sun, 17 Aug 2025 15:10:29 +0000","Israel intensifies Gaza City attacks, forcing starving Palestinians to flee UN warns of man-made famine in Gaza as starvation deaths rise, Israel steps up plan to ethnically cleanse northern Gaza."
What will the Putin-Trump meeting mean for the war in Ukraine?,High-stakes summit in Alaska ends without ceasefire deal.,aljazeera,https://www.aljazeera.com/video/inside-story/2025/8/17/what-will-the-putin-trump-meeting-mean-for-the-war-in-ukraine?traffic_source=rss,"Sun, 17 Aug 2025 14:48:19 +0000",What will the Putin-Trump meeting mean for the war in Ukraine? High-stakes summit in Alaska ends without ceasefire deal.
The upcoming elections will not help stabilise Syria,The country needs a comprehensive justice and accountability process to address past crimes.,aljazeera,https://www.aljazeera.com/opinions/2025/8/17/the-upcoming-elections-will-not-help-stabilise-syria?traffic_source=rss,"Sun, 17 Aug 2025 14:35:17 +0000",The upcoming elections will not help stabilise Syria The country needs a comprehensive justice and accountability process to address past crimes.
European leaders to shore up Ukraine’s Zelenskyy for DC talks with Trump,Ukraine and its European allies have criticised Putin&#039;s stance on the war after the Alaska summit as a way to buy time.,aljazeera,https://www.aljazeera.com/news/2025/8/17/european-leaders-to-shore-up-ukraines-zelenskyy-for-dc-talks-with-trump?traffic_source=rss,"Sun, 17 Aug 2025 14:18:54 +0000",European leaders to shore up Ukraine s Zelenskyy for DC talks with Trump Ukraine and its European allies have criticised Putin&#039;s stance on the war after the Alaska summit as a way to buy time.
"US shooting kills three at busy Brooklyn, New York City club",Investigators believe up to four shooters opened fire with multiple weapons in the early hours of Sunday,aljazeera,https://www.aljazeera.com/news/2025/8/17/us-shooting-kills-three-at-busy-brooklyn-nyc-club?traffic_source=rss,"Sun, 17 Aug 2025 14:17:02 +0000","US shooting kills three at busy Brooklyn, New York City club Investigators believe up to four shooters opened fire with multiple weapons in the early hours of Sunday"
US cancels visas for medical evacuation patients from Gaza,The US State Department has stopped all visitor visas for Palestinians arriving for urgent medical treatment from Gaza.,aljazeera,https://www.aljazeera.com/video/newsfeed/2025/8/17/us-cancels-visas-for-medical-evacuation-patients-from-gaza?traffic_source=rss,"Sun, 17 Aug 2025 14:04:58 +0000",US cancels visas for medical evacuation patients from Gaza The US State Department has stopped all visitor visas for Palestinians arriving for urgent medical treatment from Gaza.
Marc Marquez extends win streak to six with maiden Austrian MotoGP victory,Marquez continues his dominance of the 2025 season with a first Austrian GP crown as he closes in on the riders title.,aljazeera,https://www.aljazeera.com/sports/2025/8/17/marc-marquez-extends-win-streak-to-six-with-maiden-austrian-motogp-victory?traffic_source=rss,"Sun, 17 Aug 2025 13:57:28 +0000",Marc Marquez extends win streak to six with maiden Austrian MotoGP victory Marquez continues his dominance of the 2025 season with a first Austrian GP crown as he closes in on the riders title.
